Date,Product_ID,Product_Name,Category,Region,Sales_Qty,Stock_Level,Lead_Time,Unit_Price,Revenue,Season
01-01-2022,P001,Basmati Rice,Grocery,East,48,138,2,60,2880,Winter
01-01-2022,P002,Wheat Flour,Grocery,East,30,83,4,40,1200,Winter
01-01-2022,P003,Cooking Oil,Grocery,West,49,142,2,150,7350,Winter
01-01-2022,P004,Cotton Shirt,Clothing,South,16,94,7,800,12800,Winter
01-01-2022,P005,Denim Jeans,Clothing,South,20,104,7,1200,24000,Winter
01-01-2022,P006,Winter Jacket,Clothing,East,45,78,8,2500,112500,Winter
01-01-2022,P007,Lipstick,Cosmetics,South,6,95,11,500,3000,Winter
01-01-2022,P008,Face Cream,Cosmetics,West,3,68,8,700,2100,Winter
01-01-2022,P009,Perfume,Cosmetics,South,6,89,8,1500,9000,Winter
02-01-2022,P001,Basmati Rice,Grocery,West,53,96,4,60,3180,Winter
02-01-2022,P002,Wheat Flour,Grocery,South,59,141,3,40,2360,Winter
02-01-2022,P003,Cooking Oil,Grocery,West,48,86,2,150,7200,Winter
02-01-2022,P004,Cotton Shirt,Clothing,East,12,76,7,800,9600,Winter
02-01-2022,P005,Denim Jeans,Clothing,South,13,49,8,1200,15600,Winter
02-01-2022,P006,Winter Jacket,Clothing,North,35,99,7,2500,87500,Winter
02-01-2022,P007,Lipstick,Cosmetics,East,3,37,7,500,1500,Winter
02-01-2022,P008,Face Cream,Cosmetics,East,14,94,10,700,9800,Winter
02-01-2022,P009,Perfume,Cosmetics,North,7,59,13,1500,10500,Winter
03-01-2022,P001,Basmati Rice,Grocery,East,48,136,4,60,2880,Winter
03-01-2022,P002,Wheat Flour,Grocery,South,25,84,3,40,1000,Winter
03-01-2022,P003,Cooking Oil,Grocery,East,47,77,2,150,7050,Winter
03-01-2022,P004,Cotton Shirt,Clothing,North,13,112,5,800,10400,Winter
03-01-2022,P005,Denim Jeans,Clothing,North,23,96,7,1200,27600,Winter
03-01-2022,P006,Winter Jacket,Clothing,West,44,135,6,2500,110000,Winter
03-01-2022,P007,Lipstick,Cosmetics,West,5,90,7,500,2500,Winter
03-01-2022,P008,Face Cream,Cosmetics,South,3,33,11,700,2100,Winter
03-01-2022,P009,Perfume,Cosmetics,West,9,106,9,1500,13500,Winter
04-01-2022,P001,Basmati Rice,Grocery,North,57,156,3,60,3420,Winter
04-01-2022,P002,Wheat Flour,Grocery,West,35,123,3,40,1400,Winter
04-01-2022,P003,Cooking Oil,Grocery,West,55,151,4,150,8250,Winter
04-01-2022,P004,Cotton Shirt,Clothing,West,24,86,6,800,19200,Winter
04-01-2022,P005,Denim Jeans,Clothing,East,22,82,6,1200,26400,Winter
04-01-2022,P006,Winter Jacket,Clothing,East,54,143,6,2500,135000,Winter
04-01-2022,P007,Lipstick,Cosmetics,West,7,68,7,500,3500,Winter
04-01-2022,P008,Face Cream,Cosmetics,East,5,54,10,700,3500,Winter
04-01-2022,P009,Perfume,Cosmetics,East,8,62,12,1500,12000,Winter
05-01-2022,P001,Basmati Rice,Grocery,South,21,83,2,60,1260,Winter
05-01-2022,P002,Wheat Flour,Grocery,West,27,73,2,40,1080,Winter
05-01-2022,P003,Cooking Oil,Grocery,East,41,121,3,150,6150,Winter
05-01-2022,P004,Cotton Shirt,Clothing,South,5,98,9,800,4000,Winter
05-01-2022,P005,Denim Jeans,Clothing,North,8,101,5,1200,9600,Winter
05-01-2022,P006,Winter Jacket,Clothing,West,38,104,5,2500,95000,Winter
05-01-2022,P007,Lipstick,Cosmetics,North,14,106,13,500,7000,Winter
05-01-2022,P008,Face Cream,Cosmetics,North,11,94,12,700,7700,Winter
